id,name,country,latitude,longitude,temp,temp_max,temp_min,humidity,cloudiness,wind_speed
3598787,Champerico,GT,14.3,-91.92,64.72,66.0,64.0,99.0,100,9.22
2132606,Samarai,PG,-10.62,150.67,81.16,81.16,81.16,79.0,96,9.6
3665199,Ariquemes,BR,-9.91,-63.04,77.49,77.49,77.49,73.0,9,0.78
2647984,Great Yarmouth,GB,52.61,1.73,55.74,57.99,54.0,99.0,100,8.01
1175712,Jiwani,PK,25.05,61.74,77.72,77.72,77.72,28.0,0,7.92
2027042,Batagay-Alyta,RU,67.8,130.41,11.97,11.97,11.97,88.0,88,1.32
3578441,Saint-François,GP,16.25,-61.27,77.0,77.0,77.0,94.0,80,3.36
2172880,Byron Bay,AU,-28.65,153.62,76.51,80.01,73.4,56.0,0,12.75
6071421,Meadow Lake,CA,54.13,-108.43,22.69,22.69,22.69,89.0,11,2.71
3691582,Talara,PE,-4.58,-81.27,64.31,64.31,64.31,86.0,0,14.14
241131,Victoria,SC,-4.62,55.45,82.4,82.4,82.4,83.0,75,11.41
3651949,San Cristobal,EC,-0.9,-89.62,70.14,70.14,70.14,84.0,51,15.1
1855342,Nishihara,JP,26.18,127.76,83.66,84.2,82.4,69.0,75,21.92
988698,Knysna,ZA,-34.04,23.05,48.2,48.2,48.2,93.0,0,3.36
986717,Kruisfontein,ZA,-34.0,24.73,48.99,48.99,48.99,91.0,0,1.01
1539045,Malinovskiy,RU,61.2,62.84,27.77,27.77,27.77,98.0,4,4.32
2026786,Berezovyy,RU,51.67,135.7,44.58,44.58,44.58,59.0,100,3.78
6050066,La Ronge,CA,55.1,-105.28,24.8,24.8,24.8,73.0,90,4.7
3984997,San Quintín,MX,30.48,-115.95,66.63,66.63,66.63,89.0,1,12.06
5853992,Wahiawā,US,21.5,-158.02,81.99,84.2,80.6,74.0,75,6.93
3870282,Talcahuano,CL,-36.72,-73.12,50.0,50.0,50.0,76.0,0,14.99
779622,Havøysund,NO,71.0,24.66,26.6,26.6,26.6,86.0,20,3.36
2063056,Port Augusta,AU,-32.5,137.77,79.68,82.0,73.4,43.0,0,6.93
2186111,Ngunguru,NZ,-35.62,174.5,64.08,64.08,64.08,64.0,62,11.83
1235846,Matara,LK,5.95,80.54,80.58,80.58,80.58,81.0,9,11.23
1705505,Lourdes,PH,14.97,120.68,81.43,84.2,78.8,88.0,90,27.51
1805733,Jinchang,CN,38.5,102.17,54.05,54.05,54.05,34.0,0,5.12
2126123,Chokurdakh,RU,70.63,147.92,9.68,9.68,9.68,96.0,70,4.83
3453420,Planaltina,BR,-15.45,-47.61,68.38,69.8,66.0,94.0,75,3.36
2514651,Los Llanos de Aridane,ES,28.66,-17.92,66.49,73.4,62.01,60.0,75,4.7
3924908,Pimenta Bueno,BR,-11.67,-61.19,73.54,73.54,73.54,90.0,4,4.65
2374583,Bubaque,GW,11.28,-15.83,81.55,81.55,81.55,83.0,11,12.62
2126199,Cherskiy,RU,68.75,161.3,23.02,23.02,23.02,97.0,97,4.41
1957367,Tablas,PH,6.63,122.17,82.4,82.4,82.4,83.0,75,5.82
3361934,Saldanha,ZA,-33.01,17.94,42.8,42.8,42.8,81.0,0,4.7
1801850,Luorong,CN,24.41,109.61,65.8,65.8,65.8,66.0,6,14.0
3839307,Rawson,AR,-43.3,-65.1,50.92,50.92,50.92,59.0,0,17.74
1064234,Ikongo,MG,-21.88,47.43,63.21,63.21,63.21,82.0,25,2.13
6089245,Norman Wells,CA,65.28,-126.83,23.0,23.0,23.0,85.0,90,16.11
