coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,snow
"{'lon': 15.97, 'lat': 5.67}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 67.84, 'feels_like': 70.92, 'temp_min': 67.84, 'temp_max': 67.84, 'pressure': 1010, 'humidity': 80, 'sea_level': 1010, 'grnd_level': 926}",10000,"{'speed': 1.32, 'deg': 313}",{'all': 6},1603247078,"{'country': 'CF', 'sunrise': 1603255290, 'sunset': 1603298375}",3600,2389804,Baoro,200,,
"{'lon': 20.04, 'lat': -34.53}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 41, 'feels_like': 37.35, 'temp_min': 41, 'temp_max': 41, 'pressure': 1022, 'humidity': 93}",10000,"{'speed': 2.24, 'deg': 30}",{'all': 0},1603247007,"{'type': 1, 'id': 1966, 'country': 'ZA', 'sunrise': 1603252190, 'sunset': 1603299521}",7200,1015776,Bredasdorp,200,,
"{'lon': 131.37, 'lat': 31.6}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 73.4, 'feels_like': 67.98, 'temp_min': 73.4, 'temp_max': 73.4, 'pressure': 1020, 'humidity': 69}",10000,"{'speed': 17.22, 'deg': 30}",{'all': 75},1603247078,"{'type': 1, 'id': 8001, 'country': 'JP', 'sunrise': 1603228906, 'sunset': 1603269372}",32400,1855476,Nichinan,200,,
"{'lon': -165.41, 'lat': 64.5}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 39.47, 'feels_like': 31.64, 'temp_min': 37.99, 'temp_max': 41, 'pressure': 1036, 'humidity': 80}",10000,"{'speed': 8.05, 'deg': 210}",{'all': 40},1603246911,"{'type': 1, 'id': 7770, 'country': 'US', 'sunrise': 1603217440, 'sunset': 1603250496}",-28800,5870133,Nome,200,,
"{'lon': 57.66, 'lat': -20.01}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 75, 'feels_like': 76.32, 'temp_min': 75, 'temp_max': 75, 'pressure': 1019, 'humidity': 71}",10000,"{'speed': 7, 'deg': 129, 'gust': 14}",{'all': 0},1603247079,"{'type': 3, 'id': 2002134, 'country': 'MU', 'sunrise': 1603244055, 'sunset': 1603289600}",14400,934479,Grand Gaube,200,,
"{'lon': 170.31, 'lat': 69.7}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 31.03, 'feels_like': 17.92, 'temp_min': 31.03, 'temp_max': 31.03, 'pressure': 1016, 'humidity': 95, 'sea_level': 1016, 'grnd_level': 1011}",10000,"{'speed': 16.37, 'deg': 155}",{'all': 84},1603246986,"{'country': 'RU', 'sunrise': 1603224887, 'sunset': 1603254702}",43200,2122090,Pevek,200,,
"{'lon': 100.63, 'lat': 4.23}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 81.28, 'feels_like': 92.48, 'temp_min': 80.6, 'temp_max': 82, 'pressure': 1011, 'humidity': 94}",10000,"{'speed': 3.36, 'deg': 0}",{'all': 40},1603247079,"{'type': 1, 'id': 9426, 'country': 'MY', 'sunrise': 1603234906, 'sunset': 1603278126}",28800,1735450,Lumut,200,,
"{'lon': -80.2, 'lat': 44.08}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 41.02, 'feels_like': 34.68, 'temp_min': 39.99, 'temp_max': 42.01, 'pressure': 1024, 'humidity': 80}",10000,"{'speed': 5.82, 'deg': 120}",{'all': 20},1603247079,"{'type': 1, 'id': 762, 'country': 'CA', 'sunrise': 1603194134, 'sunset': 1603232905}",-14400,6145890,Shelburne,200,,
"{'lon': -149.87, 'lat': -17.57}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 84.09, 'feels_like': 85.62, 'temp_min': 84, 'temp_max': 84.2, 'pressure': 1012, 'humidity': 70}",10000,"{'speed': 13.87, 'deg': 50}",{'all': 20},1603247080,"{'type': 1, 'id': 7318, 'country': 'PF', 'sunrise': 1603207606, 'sunset': 1603252871}",-36000,4034438,Haapiti,200,,
"{'lon': 26.89, 'lat': -33.59}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 55.51, 'feels_like': 50.68, 'temp_min': 55.51, 'temp_max': 55.51, 'pressure': 1025, 'humidity': 76, 'sea_level': 1025, 'grnd_level': 1022}",10000,"{'speed': 7.81, 'deg': 328}",{'all': 0},1603247013,"{'country': 'ZA', 'sunrise': 1603250614, 'sunset': 1603297809}",7200,964432,Port Alfred,200,,
